sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count
2153,86678374,35901,53543,-1,1,0
2154,86718374,35826,53297,-1,1,0
2155,86758374,35708,52936,-1,1,0
2156,86798374,35704,52992,-1,1,0
2157,86838374,35688,53076,-1,1,0
2158,86878374,35685,53079,-1,1,0
2159,86918374,35692,53102,-1,1,0
2160,86958374,35706,53102,-1,1,0
2161,86998374,35701,53066,-1,1,0
2162,87038374,35703,53040,-1,1,0
2163,87078374,35705,53005,-1,1,0
2164,87118374,35710,53009,-1,1,0
2165,87158374,35719,53029,-1,1,0
2166,87198374,35717,53030,-1,1,0
2167,87238374,35704,53016,-1,1,0
2168,87278374,35696,53008,-1,1,0
2169,87318374,35695,52991,-1,1,0
2170,87358374,35639,52829,-1,1,0
2171,87398374,35517,52404,-1,1,0
2172,87438374,35437,52147,-1,1,0
2173,87478374,35419,52081,-1,1,0
2174,87518374,35421,52072,-1,1,0
2175,87558374,35445,52142,-1,1,0
2176,87598374,35551,52492,-1,1,0
2177,87638374,35623,52684,-1,1,0
2178,87678374,35628,52716,-1,1,0
2179,87718374,35651,52786,-1,1,0
2180,87758374,35668,52881,-1,1,0
2181,87798374,35697,52952,-1,1,0
2182,87838374,35710,53014,-1,1,0
2183,87878374,35723,53041,-1,1,0
2184,87918374,35731,53074,-1,1,0
2185,87958374,35734,53111,-1,1,0
2186,87998374,35753,53175,-1,1,0
2187,88038374,35771,53185,-1,1,0
2188,88078374,35711,52964,-1,1,0
2189,88118374,35680,52839,-1,1,0
2190,88158374,35733,52988,-1,1,0
2191,88198374,35738,53040,-1,1,0
2192,88238374,35764,53104,-1,1,0
2193,88278374,35805,53250,-1,1,0
2194,88318374,35832,53303,-1,1,0
2195,88358374,35831,53314,-1,1,0
2196,88398374,35831,53324,-1,1,0
2197,88438374,35857,53390,-1,1,0
2198,88478374,35886,53461,-1,1,0
2199,88518374,35895,53535,-1,1,0
2200,88558374,35913,53598,-1,1,0
2201,88598374,35940,53656,-1,1,0
2202,88638374,35963,53699,-1,1,0
2203,88678374,36009,53840,-1,1,0
2204,88718374,36046,53955,-1,1,0
2205,88758374,36037,53873,-1,1,0
2206,88798374,35996,53663,-1,1,0
2207,88838374,35989,53640,-1,1,0
2208,88878374,36003,53686,-1,1,0
2209,88918374,36014,53768,-1,1,0
2210,88958374,36037,53830,-1,1,0
2211,88998374,36036,53835,-1,1,0
2212,89038374,36035,53817,-1,1,0
2213,89078374,36037,53834,-1,1,0
2214,89118374,36057,53911,-1,1,0
2215,89158374,36079,53997,-1,1,0
2216,89198374,36103,54078,-1,1,0
2217,89238374,36118,54140,-1,1,0
2218,89278374,36131,54189,-1,1,0
2219,89318374,36148,54221,-1,1,0
2220,89358374,36155,54265,-1,1,0
2221,89398374,36166,54296,-1,1,0
2222,89438374,36119,54133,-1,1,0
2223,89478374,36064,53902,-1,1,0
2224,89518374,36048,53852,-1,1,0
2225,89558374,36069,53876,-1,1,0
2226,89598374,36051,53900,-1,1,0
2227,89638374,36054,53940,-1,1,0
2228,89678374,36060,53954,-1,1,0
2229,89718374,36055,53948,-1,1,0
2230,89758374,36043,53926,-1,1,0
2231,89798374,36040,53940,-1,1,0
2232,89838374,36050,53977,-1,1,0
2233,89878374,36065,54012,-1,1,0
2234,89918374,36063,54043,-1,1,0
2235,89958374,36049,54028,-1,1,0
2236,89998374,36043,54021,-1,1,0
2237,90038374,36040,54004,-1,1,0
2238,90078374,35991,53811,-1,1,0
2239,90118374,35908,53539,-1,1,0
2240,90158374,35864,53429,-1,1,0
2241,90198374,35874,53462,-1,1,0
2242,90238374,35883,53486,-1,1,0
2243,90278374,35893,53538,-1,1,0
2244,90318374,35885,53543,-1,1,0
2245,90358374,35882,53523,-1,1,0
2246,90398374,35869,53506,-1,1,0
2247,90438374,35875,53543,-1,1,0
2248,90478374,35889,53602,-1,1,0
2249,90518374,35903,53659,-1,1,0
2250,90558374,35906,53682,-1,1,0
2251,90598374,35904,53682,-1,1,0
2252,90638374,35903,53684,-1,1,0
2253,90678374,35916,53705,-1,1,0
2254,90718374,35890,53632,-1,1,0
2255,90758374,35785,53307,-1,1,0
2256,90798374,35699,53008,-1,1,0
2257,90838374,35671,52923,-1,1,0
2258,90878374,35666,52929,-1,1,0
2259,90918374,35683,52956,-1,1,0
2260,90958374,35714,53059,-1,1,0
2261,90998374,35733,53097,-1,1,0
2262,91038374,35730,53078,-1,1,0
2263,91078374,35718,53091,-1,1,0
2264,91118374,35713,53114,-1,1,0
2265,91158374,35722,53164,-1,1,0
2266,91198374,35713,53162,-1,1,0
2267,91238374,35683,53109,-1,1,0
2268,91278374,35672,53072,-1,1,0
2269,91318374,35660,53047,-1,1,0
2270,91358374,35646,53030,-1,1,0
2271,91398374,35602,52878,-1,1,0
2272,91438374,35490,52519,-1,1,0
2273,91478374,35429,52310,-1,1,0
2274,91518374,35423,52268,-1,1,0
2275,91558374,35407,52234,-1,1,0
2276,91598374,35410,52246,-1,1,0
2277,91638374,35449,52317,-1,1,0
2278,91678374,35450,52349,-1,1,0
2279,91718374,35439,52299,-1,1,0
2280,91758374,35429,52292,-1,1,0
2281,91798374,35426,52320,-1,1,0
2282,91838374,35446,52381,-1,1,0
2283,91878374,35472,52438,-1,1,0
