time_s,sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count,slot0_dc,slot0_ac,slot1_dc,slot1_ac,slot0_peak,slot1_peak
4.8,1846,74398374,36236,53211,-1,1,0,36311.95691251482,-76.9365125743346,53455.73020256443,-243.62041875196962,0,0
4.84,1847,74438374,36229,53205,-1,1,0,36306.40697630545,-80.70307972328976,53448.5903114788,-257.96172817196407,0,0
4.88,1848,74478374,36233,53213,-1,1,0,36301.071304143945,-64.19568299662797,53441.956508931486,-218.1116713219889,0,0
4.92,1849,74518374,36259,53293,-1,1,0,36295.959535234426,-37.89607561720609,53435.883840901406,-145.7024682658892,0,0
4.96,1850,74558374,36276,53363,-1,1,0,36291.06631600921,-16.951583210697375,53430.376719117994,-69.47481663076273,0,0
5.0,1851,74598374,36276,53384,-1,1,0,36286.37623275811,-5.022633295436986,53425.40308651331,-38.466796928543204,0,0
5.04,1852,74638374,36291,53393,-1,1,0,36281.86856539228,6.71609421134761,53420.90897817003,-25.487787906255782,0,0
5.08,1853,74678374,36293,53436,-1,1,0,36277.520909890496,17.038736380001694,53416.82862703889,21.983997764771203,0,0
5.12,1854,74718374,36305,53508,-1,1,0,36273.31230086986,35.92911666967251,53413.09268049602,100.26811763907688,0,0
5.16,1855,74758374,36335,53577,-1,1,0,36269.22665421765,66.06717370467425,53409.63976048749,167.95902817404712,0,0
5.2,1856,74798374,36345,53599,-1,1,0,36265.25734932062,80.18711496991911,53406.43168088087,203.8265989837278,0,0
5.24,1857,74838374,36330,53622,-1,1,0,36261.41224931002,73.44414640839243,53403.46772924593,216.8485597850893,0,0
5.28,1858,74878374,36333,53637,-1,1,0,36257.71681022186,74.13999225631201,53400.794667993294,242.3661887453046,0,0
5.32,1859,74918374,36334,53674,-1,1,0,36254.21493202552,85.92905091083055,53398.51361319426,292.3214696920842,1,1
5.36,1860,74958374,36318,53646,-1,1,0,36250.96919012467,64.34572361028154,53396.78576827453,236.52195503081404,0,0
5.4,1861,74998374,36231,53371,-1,1,0,36248.05938657114,-17.515118071605983,53395.83169088687,-23.089479576778103,0,0
5.44,1862,75038374,36141,53089,-1,1,0,36245.57509691362,-98.24105756148734,53395.9099675257,-286.4394584523749,0,0
